Fecha,Clics,Impresiones,CTR,Posición
2026-03-15,3,38,7.89%,10.7
2026-03-16,3,61,4.92%,9.2
2026-03-17,1,34,2.94%,14.1
2026-03-18,1,27,3.7%,13.7
2026-03-19,1,43,2.33%,5.8
2026-03-20,1,35,2.86%,12.9
2026-03-21,1,27,3.7%,10
2026-03-22,1,28,3.57%,7.8
2026-03-23,3,42,7.14%,6.6
2026-03-24,2,45,4.44%,4.9
2026-03-25,2,34,5.88%,7.9
2026-03-26,1,25,4%,10.1
2026-03-27,2,32,6.25%,4.8
2026-03-28,2,14,14.29%,6.9
2026-03-29,3,37,8.11%,8.6
2026-03-30,4,36,11.11%,6.1
2026-03-31,3,24,12.5%,8.1
2026-04-01,2,32,6.25%,10.6
2026-04-02,2,26,7.69%,11.1
2026-04-03,1,24,4.17%,10.5
2026-04-04,1,22,4.55%,11.1
2026-04-05,2,35,5.71%,8.9
2026-04-06,3,30,10%,7.7
2026-04-07,4,35,11.43%,9.2
2026-04-08,2,37,5.41%,8.7
2026-04-09,1,29,3.45%,13.7
2026-04-10,0,27,0%,10.2
2026-04-11,2,28,7.14%,9.8
2026-04-12,1,26,3.85%,13.2
2026-04-13,2,22,9.09%,14.6
2026-04-14,2,44,4.55%,10.7
2026-04-15,5,45,11.11%,10.1
2026-04-16,3,34,8.82%,9.9
2026-04-17,1,37,2.7%,16.2
2026-04-18,1,25,4%,17.8
2026-04-19,0,24,0%,12.5
2026-04-20,1,37,2.7%,10.3
2026-04-21,4,56,7.14%,13
2026-04-22,2,48,4.17%,10
2026-04-23,4,31,12.9%,14.9
2026-04-24,0,16,0%,18.4
2026-04-25,3,26,11.54%,11.1
2026-04-26,1,36,2.78%,10.4
2026-04-27,1,32,3.12%,12.4
2026-04-28,0,19,0%,27.9
2026-04-29,2,44,4.55%,14.3
2026-04-30,2,19,10.53%,20.2
2026-05-01,2,17,11.76%,10.8
2026-05-02,1,23,4.35%,24.4
2026-05-03,1,36,2.78%,15.1
2026-05-04,0,32,0%,15.9
2026-05-05,0,37,0%,12.2
2026-05-06,2,25,8%,16.9
2026-05-07,1,32,3.12%,10.8
2026-05-08,2,40,5%,9.4
2026-05-09,0,26,0%,13.2
2026-05-10,1,18,5.56%,21.2
2026-05-11,3,41,7.32%,14
2026-05-12,0,20,0%,18.4
2026-05-13,3,29,10.34%,20.4
2026-05-14,0,43,0%,11.1
2026-05-15,1,25,4%,12.9
2026-05-16,1,21,4.76%,11.6
2026-05-17,3,30,10%,9.6
2026-05-18,1,25,4%,10.6
2026-05-19,1,23,4.35%,13.3
2026-05-20,1,32,3.12%,15.5
2026-05-21,0,33,0%,10.9
2026-05-22,3,16,18.75%,14.8
2026-05-23,1,26,3.85%,11.7
2026-05-24,0,17,0%,14.3
2026-05-25,4,36,11.11%,7.6
