País,Clics,Impresiones,CTR,Posición
España,85,1899,4.48%,12.91
Alemania,14,64,21.88%,5.42
Italia,3,32,9.38%,2.66
Países Bajos,3,26,11.54%,3.38
Reino Unido,3,17,17.65%,3.53
Rumanía,2,7,28.57%,1
Bélgica,2,7,28.57%,5.71
Bulgaria,2,3,66.67%,1.67
Suiza,1,11,9.09%,2.73
Suecia,1,11,9.09%,3.82
Austria,1,8,12.5%,5.88
Francia,1,6,16.67%,5.83
Chequia,1,6,16.67%,8
Finlandia,1,3,33.33%,2.33
Estonia,1,1,100%,1
Estados Unidos,0,71,0%,3.66
Polonia,0,10,0%,6.4
Noruega,0,8,0%,2
Portugal,0,8,0%,10.5
Eslovaquia,0,7,0%,2.57
Irlanda,0,4,0%,1
Sahara Occidental,0,2,0%,1
Eslovenia,0,2,0%,2.5
Tailandia,0,2,0%,4
Argentina,0,2,0%,10.5
La India,0,2,0%,21
Canadá,0,1,0%,1
México,0,1,0%,1
Paraguay,0,1,0%,1
Argelia,0,1,0%,2
Lituania,0,1,0%,2
Japón,0,1,0%,3
Filipinas,0,1,0%,4
Luxemburgo,0,1,0%,5
Serbia,0,1,0%,8
Uruguay,0,1,0%,10
Marruecos,0,1,0%,11
Malta,0,1,0%,12
